Corpo_celeste,Altitudine,Microrganismo,Abitabile
Terra,0,Deinococcus aerius,True
Terra,0,Bacillus stratosphericus,True
Terra,0,Methanobrevibacter arboriphilus,False
Terra,0,Aerococcus viridans,True
Terra,0,Micrococcus luteus,True
Terra,0,Paracoccus yeei,True
Terra,0,Rhodococcus erythropolis,True
Terra,0,Pseudomonas aeruginosa,True
Terra,0,Acinetobacter radioresistens,True
Terra,0,Bacillus pumilus,True
Terra,1,Deinococcus aerius,False
Terra,1,Bacillus stratosphericus,False
Terra,1,Methanobrevibacter arboriphilus,False
Terra,1,Aerococcus viridans,False
Terra,1,Micrococcus luteus,False
Terra,1,Paracoccus yeei,False
Terra,1,Rhodococcus erythropolis,False
Terra,1,Pseudomonas aeruginosa,False
Terra,1,Acinetobacter radioresistens,False
Terra,1,Bacillus pumilus,False
Terra,2,Deinococcus aerius,False
Terra,2,Bacillus stratosphericus,False
Terra,2,Methanobrevibacter arboriphilus,False
Terra,2,Aerococcus viridans,False
Terra,2,Micrococcus luteus,False
Terra,2,Paracoccus yeei,False
Terra,2,Rhodococcus erythropolis,False
Terra,2,Pseudomonas aeruginosa,False
Terra,2,Acinetobacter radioresistens,False
Terra,2,Bacillus pumilus,False
Terra,3,Deinococcus aerius,False
Terra,3,Bacillus stratosphericus,False
Terra,3,Methanobrevibacter arboriphilus,False
Terra,3,Aerococcus viridans,False
Terra,3,Micrococcus luteus,False
Terra,3,Paracoccus yeei,False
Terra,3,Rhodococcus erythropolis,False
Terra,3,Pseudomonas aeruginosa,False
Terra,3,Acinetobacter radioresistens,False
Terra,3,Bacillus pumilus,False
Terra,4,Deinococcus aerius,False
Terra,4,Bacillus stratosphericus,False
Terra,4,Methanobrevibacter arboriphilus,False
Terra,4,Aerococcus viridans,False
Terra,4,Micrococcus luteus,False
Terra,4,Paracoccus yeei,False
Terra,4,Rhodococcus erythropolis,False
Terra,4,Pseudomonas aeruginosa,False
Terra,4,Acinetobacter radioresistens,False
Terra,4,Bacillus pumilus,False
Terra,5,Deinococcus aerius,False
Terra,5,Bacillus stratosphericus,False
Terra,5,Methanobrevibacter arboriphilus,False
Terra,5,Aerococcus viridans,False
Terra,5,Micrococcus luteus,False
Terra,5,Paracoccus yeei,False
Terra,5,Rhodococcus erythropolis,False
Terra,5,Pseudomonas aeruginosa,False
Terra,5,Acinetobacter radioresistens,False
Terra,5,Bacillus pumilus,False
Terra,6,Deinococcus aerius,False
Terra,6,Bacillus stratosphericus,False
Terra,6,Methanobrevibacter arboriphilus,False
Terra,6,Aerococcus viridans,False
Terra,6,Micrococcus luteus,False
Terra,6,Paracoccus yeei,False
Terra,6,Rhodococcus erythropolis,False
Terra,6,Pseudomonas aeruginosa,False
Terra,6,Acinetobacter radioresistens,False
Terra,6,Bacillus pumilus,False
Terra,7,Deinococcus aerius,False
Terra,7,Bacillus stratosphericus,False
Terra,7,Methanobrevibacter arboriphilus,False
Terra,7,Aerococcus viridans,False
Terra,7,Micrococcus luteus,False
Terra,7,Paracoccus yeei,False
Terra,7,Rhodococcus erythropolis,False
Terra,7,Pseudomonas aeruginosa,False
Terra,7,Acinetobacter radioresistens,False
Terra,7,Bacillus pumilus,False
Terra,8,Deinococcus aerius,False
Terra,8,Bacillus stratosphericus,False
Terra,8,Methanobrevibacter arboriphilus,False
Terra,8,Aerococcus viridans,False
Terra,8,Micrococcus luteus,False
Terra,8,Paracoccus yeei,False
Terra,8,Rhodococcus erythropolis,False
Terra,8,Pseudomonas aeruginosa,False
Terra,8,Acinetobacter radioresistens,False
Terra,8,Bacillus pumilus,False
Terra,9,Deinococcus aerius,False
Terra,9,Bacillus stratosphericus,False
Terra,9,Methanobrevibacter arboriphilus,False
Terra,9,Aerococcus viridans,False
Terra,9,Micrococcus luteus,False
